ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_ECR,fy_start,fy_end,Notes,EEContribution_StartDate,EEContribution_EndDate,EEContribution_TenureStart,EEContribution_TenureEnd,EEContribution_SalaryStart,EEContribution_SalaryEnd,EEContribution_Rate,EEContribution_PercentReqCont,EEContribution_PercentNC,EEContribution_RefundRate,EEContribution_LinkedRefund,EEContribution_MaxDiff,fy
6,Arizona SRS,6,ALL,2,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
7,Arkansas PERS,1,General State and Local Employees,1,,1,2012,9999,,,,,,,,.05,,,.04,,,2012
7,Arkansas PERS,1,General State and Local Employees,2,,1,2012,9999,,,,,,,,0,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,3,,1,2012,9999,,,,,,,,.05,,,.04,,,2012
7,Arkansas PERS,2,General Assembly,1,,1,2012,9999,,,,,,,,.05,,,.04,,,2012
7,Arkansas PERS,2,General Assembly,2,,1,2012,9999,,,,,,,,0,,,,,,2012
7,Arkansas PERS,2,General Assembly,3,,1,2012,9999,,,,,,,,.05,,,.04,,,2012
7,Arkansas PERS,3,Judges,0,,1,2012,9999,,,,,,,,.05,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,,1,2012,9999,,,,,,0,6.156000000000001,0,,,.06,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,,2,2012,9999,,,,,,6.157000000000001,9999,.08,,,.06,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2,,1,2012,9999,,,,,,0,6.156000000000001,0,,,.06,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2,,2,2012,9999,,,,,,6.157000000000001,9999,.08,,,.06,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,3,,1,2012,9999,,,,,,0,6.156000000000001,0,,,.06,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,3,,2,2012,9999,,,,,,6.157000000000001,9999,.08,,,.06,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,,1,2012,9999,,,,,,,,.015,,,.06,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2,,1,2012,9999,,,,,,,,.015,,,.06,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,3,,1,2012,9999,,,,,,,,.015,,,.06,,,2012
9,California PERF,4,State Industrial - Tier 1,1,,1,2012,9999,,,,,,0,6.156000000000001,0,,,.06,,,2012
9,California PERF,4,State Industrial - Tier 1,1,,2,2012,9999,,,,,,6.157000000000001,9999,.09,,,.06,,,2012
9,California PERF,4,State Industrial - Tier 1,2,,1,2012,9999,,,,,,0,6.156000000000001,0,,,.06,,,2012
9,California PERF,4,State Industrial - Tier 1,2,,2,2012,9999,,,,,,6.157000000000001,9999,.09,,,.06,,,2012
9,California PERF,4,State Industrial - Tier 1,3,,1,2012,9999,,,,,,0,6.156000000000001,0,,,.06,,,2012
9,California PERF,4,State Industrial - Tier 1,3,,2,2012,9999,,,,,,6.157000000000001,9999,.09,,,.06,,,2012
9,California PERF,5,State Industrial - Tier 2,1,,1,2012,9999,,,,,,,,.015,,,.06,,,2012
9,California PERF,5,State Industrial - Tier 2,2,,1,2012,9999,,,,,,,,.015,,,.06,,,2012
9,California PERF,5,State Industrial - Tier 2,3,,1,2012,9999,,,,,,,,.015,,,.06,,,2012
9,California PERF,7,State Safety,1,,1,2012,9999,,,,,,0,3.804,0,,,.06,,,2012
9,California PERF,7,State Safety,1,,2,2012,9999,,,,,,3.805,9999,.11,,,.06,,,2012
9,California PERF,7,State Safety,2,,1,2012,9999,,,,,,0,3.804,0,,,.06,,,2012
9,California PERF,7,State Safety,2,,2,2012,9999,,,,,,3.805,9999,.11,,,.06,,,2012
9,California PERF,7,State Safety,3,,1,2012,9999,,,,,,0,3.804,0,,,.06,,,2012
9,California PERF,7,State Safety,3,,2,2012,9999,,,,,,3.805,9999,.11,,,.06,,,2012
9,California PERF,8,State Peace Officers & Firefighters,1,,1,2012,9999,,,,,,0,10.356,0,,,.06,,,2012
9,California PERF,8,State Peace Officers & Firefighters,1,,2,2012,9999,,,,,,10.357,9999,.12,,,.06,,,2012
9,California PERF,8,State Peace Officers & Firefighters,2,,1,2012,9999,,,,,,0,10.356,0,,,.06,,,2012
9,California PERF,8,State Peace Officers & Firefighters,2,,2,2012,9999,,,,,,10.357,9999,.12,,,.06,,,2012
9,California PERF,8,State Peace Officers & Firefighters,3,,1,2012,9999,,,,,,0,10.356,0,,,.06,,,2012
9,California PERF,8,State Peace Officers & Firefighters,3,,2,2012,9999,,,,,,10.357,9999,.12,,,.06,,,2012
9,California PERF,9,California Highway Patrol,1,,1,2012,9999,,,,,,0,10.356,0,,,.06,,,2012
9,California PERF,9,California Highway Patrol,1,,2,2012,9999,,,,,,10.357,9999,.115,,,.06,,,2012
9,California PERF,9,California Highway Patrol,2,,1,2012,9999,,,,,,0,10.356,0,,,.06,,,2012
9,California PERF,9,California Highway Patrol,2,,2,2012,9999,,,,,,10.357,9999,.115,,,.06,,,2012
9,California PERF,9,California Highway Patrol,3,,1,2012,9999,,,,,,0,10.356,0,,,.06,,,2012
9,California PERF,9,California Highway Patrol,3,,2,2012,9999,,,,,,10.357,9999,.115,,,.06,,,2012
9,California PERF,10,Schools,1,,1,2012,9999,,,,,,,,.07,,,.06,,,2012
9,California PERF,10,Schools,2,,1,2012,9999,,,,,,,,.07,,,.06,,,2012
9,California PERF,11,Public Agency - Risk Pool 1 - Miscellaneous 2%@60,1,1/1/1800,1,2012,9999,,,,,,,,.07,,,.06,,,2012
9,California PERF,12,Public Agency - Risk Pool 2 - Miscellaneous 2%@55,1,1/1/1800,1,2012,9999,,,,,,,,.07,,,.06,,,2012
9,California PERF,13,Public Agency - Risk Pool 3 - Miscellaneous 2.5%@55,1,1/1/1800,1,2012,9999,,,,,,,,.08,,,.06,,,2012
9,California PERF,14,Public Agency - Risk Pool 4 - Miscellaneous 2.7%@55,1,1/1/1800,1,2012,9999,,,,,,,,.08,,,.06,,,2012
9,California PERF,15,Public Agency - Risk Pool 5 - Miscellaneous 3.0%@60,1,1/1/1800,1,2012,9999,,,,,,,,.08,,,.06,,,2012
9,California PERF,16,Public Agency - Risk Pool 6 - Safety 2.0%@55,1,1/1/1800,1,2012,9999,,,,,,,,.07,,,.06,,,2012
9,California PERF,17,Public Agency - Risk Pool 7 - Safety 2.0%@50,1,1/1/1800,1,2012,9999,,,,,,,,.09,,,.06,,,2012
9,California PERF,18,Public Agency - Risk Pool 8 - Safety 3.0%@55,1,1/1/1800,1,2012,9999,,,,,,,,.09,,,.06,,,2012
9,California PERF,19,Public Agency - Risk Pool 9 - Safety 3.0%@50,1,1/1/1800,1,2012,9999,,,,,,,,.09,,,.06,,,2012
10,California Teachers,0,All,1,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,.5,.03,3,,2012
10,California Teachers,0,All,2,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,.5,.03,3,,2012
11,Chicago TRS,0,All,1,,1,2012,9999,,,,,,,,.09,,,0,,,2012
11,Chicago TRS,0,All,2,,1,2012,9999,,,,,,,,.09,,,0,,,2012
13,Colorado Municipal,0,General local government employees,1,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
13,Colorado Municipal,0,General local government employees,2,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
13,Colorado Municipal,0,General local government employees,3,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
13,Colorado Municipal,0,General local government employees,4,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
13,Colorado Municipal,0,General local government employees,5,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
14,Colorado State,0,Teachers,2,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
14,Colorado State,0,Teachers,3,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
14,Colorado State,0,Teachers,4,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
14,Colorado State,0,Teachers,5,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
15,Colorado State,1,General state government employees,2,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
15,Colorado State,1,General state government employees,3,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
15,Colorado State,1,General state government employees,4,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
15,Colorado State,1,General state government employees,5,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.08,,,.03,,,2012
15,Colorado State,2,Police and Fire,2,,1,2012,9999,,  1/1/2011,  1/1/8000,,,,,.1,,,.03,,,2012
16,Connecticut SERS,1,General Employees-Tier I/Plan B,1,,1,2012,9999,,,,,,0,118.5,.02,,,,,,2012
16,Connecticut SERS,1,General Employees-Tier I/Plan B,1,,2,2012,9999,,,,,,188.501,9999,.05,,,,,,2012
16,Connecticut SERS,2,General Employees-Tier I/Plan C,1,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,1,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,2,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,3,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,4,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,5,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,6,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,7,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,3,General Employees-Tier II,8,,1,2012,9999,,,,,,,,0,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,1,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,2,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,3,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,4,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,5,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,6,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,7,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,4,General Employees-Tier IIA,8,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,5,General Employees-Tier III,1,,1,2012,9999,,,,,,,,.02,,,,,,2012
16,Connecticut SERS,6,Tier III/Hybrid,1,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,7,Hazardous Duty-Tier 1,1,,1,2012,9999,,,,,,0,118.5,.04,,,,,,2012
16,Connecticut SERS,7,Hazardous Duty-Tier 1,1,,2,2012,9999,,,,,,188.501,9999,.05,,,,,,2012
16,Connecticut SERS,8,Hazardous Duty-Tier II,1,,1,2012,9999,,,,,,,,.04,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,1,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,2,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,3,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,4,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,5,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,6,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,7,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,8,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,10,Hazardous Duty-Tier III,1,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,1,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,2,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,3,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,4,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,5,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,6,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,7,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,11,Tier II/Hybrid,8,,1,2012,9999,,,,,,,,.03,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,1,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,2,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,3,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,4,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,5,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,6,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,7,,1,2012,9999,,,,,,,,.05,,,,,,2012
16,Connecticut SERS,12,Tier IIA/Hybrid,8,,1,2012,9999,,,,,,,,.05,,,,,,2012
17,Connecticut Teachers,0,ALL,0,,1,2012,9999,,,,,,,,.06,,,,,,2012
19,D.C. P&F,1,ALL,1,,1,2012,9999,,,,,,,,.07,,,,,,2012
19,D.C. P&F,1,ALL,2,,1,2012,9999,,,,,,,,.07,,,,,,2012
19,D.C. P&F,1,ALL,3,,1,2012,9999,,,,,,,,.08,,,,,,2012
19,D.C. P&F,2,ALL,1,,1,2012,9999,,,,,,,,.07,,,,,,2012
19,D.C. P&F,2,ALL,2,,1,2012,9999,,,,,,,,.07,,,,,,2012
19,D.C. P&F,2,ALL,3,,1,2012,9999,,,,,,,,.08,,,,,,2012
20,D.C. Teachers,0,ALL,1,,1,2012,9999,,,,,,,,.07,,,,,,2012
20,D.C. Teachers,0,ALL,2,,1,2012,9999,,,,,,,,.08,,,,,,2012
26,Florida RS,1,Regular,1,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,1,Regular,1,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,1,Regular,2,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,1,Regular,2,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,2,Senior Mgmt.,1,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,2,Senior Mgmt.,1,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,2,Senior Mgmt.,2,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,2,Senior Mgmt.,2,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,3,Special Risk,1,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,3,Special Risk,1,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,3,Special Risk,2,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,3,Special Risk,2,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,4,Special Risk Admin,1,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,4,Special Risk Admin,1,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,4,Special Risk Admin,2,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
26,Florida RS,4,Special Risk Admin,2,,2,2012,9999,,  7/1/2011,  1/1/8000,,,,,.03,,,0,,,2012
26,Florida RS,5,Elected Officials,1,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,0,,,0,,,2012
