ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_NRB,fy_start,fy_end,Notes,normal_BenefitFactor,normal_BenefitAmount,normal_RetAge,normal_RetTenure,normal_RetPoints,normal_RetDate,normal_ServiceDateStart,normal_ServiceDateEnd,normal_AgeStart,normal_AgeEnd,normal_TenureStart,normal_TenureEnd,normal_SalaryStart,normal_SalaryEnd,Y,fy
1,Alabama ERS,4,Local Police and Fire,1,,1,2012,9999,,.020125,,,,,,,,,,,,,,,2012
1,Alabama ERS,4,Local Police and Fire,2,,1,2012,9999,,.0165,,,,,,,,,,,,,,,2012
2,Alabama TRS,0,ALL,1,,1,2012,9999,,.020125,,,,,,,,,,,,,,,2012
2,Alabama TRS,0,ALL,2,,1,2012,9999,,.0165,,,,,,,,,,,,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,1,,1,2012,9999,,.02,,,,,,1/1/1800, 6/30/1986,,,,,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,1,,2,2012,9999,,.02,,,,,,  7/1/1986,  1/1/8000,,,0,10,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,1,,3,2012,9999,,.0225,,,,,,  7/1/1986,  1/1/8000,,,11,20,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,1,,4,2012,9999,,.025,,,,,,  7/1/1986,  1/1/8000,,,20,9999,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,2,,1,2012,9999,,.02,,,,,,1/1/1800, 6/30/1986,,,,,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,2,,2,2012,9999,,.02,,,,,,  7/1/1986,  1/1/8000,,,0,10,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,2,,3,2012,9999,,.0225,,,,,,  7/1/1986,  1/1/8000,,,11,20,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,2,,4,2012,9999,,.025,,,,,,  7/1/1986,  1/1/8000,,,20,9999,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,3,,1,2012,9999,,.02,,,,,,1/1/1800, 6/30/1986,,,,,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,3,,2,2012,9999,,.02,,,,,,  7/1/1986,  1/1/8000,,,0,10,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,3,,3,2012,9999,,.0225,,,,,,  7/1/1986,  1/1/8000,,,11,20,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,3,,4,2012,9999,,.025,,,,,,  7/1/1986,  1/1/8000,,,20,9999,,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,1,,1,2012,9999,,.02,,,,,,,,,,0,10,,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,1,,2,2012,9999,,.025,,,,,,,,,,11,9999,,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,2,,1,2012,9999,,.02,,,,,,,,,,0,10,,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,2,,2,2012,9999,,.025,,,,,,,,,,11,9999,,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,3,,1,2012,9999,,.02,,,,,,,,,,0,10,,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,3,,2,2012,9999,,.025,,,,,,,,,,11,9999,,,,2012
4,Alaska TRS,0,ALL,1,,1,2012,9999,,.02,,,,,,,,,,0,20,,,,2012
4,Alaska TRS,0,ALL,1,,2,2012,9999,,.025,,,,,,,,,,21,9999,,,,2012
4,Alaska TRS,0,ALL,2,,1,2012,9999,,.02,,,,,,,,,,0,20,,,,2012
4,Alaska TRS,0,ALL,2,,2,2012,9999,,.025,,,,,,,,,,21,9999,,,,2012
5,Arizona Public Safety,0,ALL,1,,1,2012,9999,,.025,,,25,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,2,2012,9999,,.025,,,20,,,,,,,0,20,,,,2012
5,Arizona Public Safety,0,ALL,1,,3,2012,9999,,.02,,,20,,,,,,,20,24,,,,2012
5,Arizona Public Safety,0,ALL,1,,4,2012,9999,,.0263157894736842,,,19,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,5,2012,9999,,.0277777777777778,,,18,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,6,2012,9999,,.0294117647058824,,,17,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,7,2012,9999,,.03125,,,16,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,8,2012,9999,,.0333333333333333,,,15,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,9,2012,9999,,.0357142857142857,,,14,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,10,2012,9999,,.0384615384615385,,,13,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,11,2012,9999,,.0416666666666667,,,12,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,12,2012,9999,,.0454545454545455,,,11,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,13,2012,9999,,.05,,,10,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,14,2012,9999,,.0555555555555556,,,9,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,15,2012,9999,,.0625,,,8,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,16,2012,9999,,.0714285714285714,,,7,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,17,2012,9999,,.0833333333333333,,,6,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,18,2012,9999,,.1,,,5,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,19,2012,9999,,.125,,,4,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,20,2012,9999,,.1666666666666667,,,3,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,21,2012,9999,,.25,,,2,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,22,2012,9999,,.5,,,1,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,1,2012,9999,,.025,,,25,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,2,2012,9999,,.0260416666666667,,,24,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,3,2012,9999,,.0271739130434783,,,23,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,4,2012,9999,,.0284090909090909,,,22,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,5,2012,9999,,.0297619047619048,,,21,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,6,2012,9999,,.03125,,,20,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,7,2012,9999,,.0328947368421053,,,19,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,8,2012,9999,,.0347222222222222,,,18,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,9,2012,9999,,.0367647058823529,,,17,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,10,2012,9999,,.0390625,,,16,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,11,2012,9999,,.0416666666666667,,,15,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,12,2012,9999,,.0446428571428571,,,14,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,13,2012,9999,,.0480769230769231,,,13,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,14,2012,9999,,.0520833333333333,,,12,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,15,2012,9999,,.0568181818181818,,,11,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,16,2012,9999,,.0625,,,10,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,17,2012,9999,,.0694444444444444,,,9,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,18,2012,9999,,.078125,,,8,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,19,2012,9999,,.0892857142857143,,,7,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,20,2012,9999,,.1041666666666667,,,6,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,21,2012,9999,,.125,,,5,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,22,2012,9999,,.15625,,,4,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,23,2012,9999,,.2083333333333333,,,3,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,24,2012,9999,,.3125,,,2,,,,,,,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,25,2012,9999,,.625,,,1,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,1,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,1,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,1,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,1,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,2,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,2,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,2,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,1,ALL,2,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,1,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,1,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,1,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,1,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,2,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,2,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,2,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,2,ALL,2,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,1,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,1,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,1,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,1,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,2,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,2,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,2,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,3,ALL,2,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,1,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,1,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,1,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,1,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,2,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,2,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,2,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,4,ALL,2,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,1,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,1,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,1,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,1,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,2,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,2,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,2,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,5,ALL,2,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,1,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,1,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,1,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,1,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,2,,1,2012,9999,,.021,,,,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,2,,2,2012,9999,,.0215,,,20,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,2,,3,2012,9999,,.022,,,25,,,,,,,,,,,,2012
6,Arizona SRS,6,ALL,2,,4,2012,9999,,.023,,,30,,,,,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,1,,1,2012,9999,,.0203,,,,,,1/1/1800, 6/30/2007,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,1,,2,2012,9999,,.02,,,,,,  7/1/2007, 6/30/2009,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,1,,3,2012,9999,,.02,,,,,,  7/1/2009,  1/1/8000,,,0,28,,,,2012
7,Arkansas PERS,1,General State and Local Employees,1,,4,2012,9999,,.005,,,,,,  7/1/2009,  1/1/8000,,,29,9999,,,,2012
7,Arkansas PERS,1,General State and Local Employees,2,,1,2012,9999,,.0175,,,,,,1/1/1800, 6/30/2007,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,2,,2,2012,9999,,.0172,,,,,,  7/1/2007, 6/30/2009,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,2,,3,2012,9999,,.0172,,,,,,  7/1/2009,  1/1/8000,,,0,28,,,,2012
7,Arkansas PERS,1,General State and Local Employees,2,,4,2012,9999,,.005,,,,,,  7/1/2009,  1/1/8000,,,29,9999,,,,2012
7,Arkansas PERS,1,General State and Local Employees,3,,1,2012,9999,,.0203,,,,,,1/1/1800, 6/30/2007,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,3,,2,2012,9999,,.02,,,,,,  7/1/2007, 6/30/2009,,,,,,,,2012
7,Arkansas PERS,1,General State and Local Employees,3,,3,2012,9999,,.02,,,,,,  7/1/2009,  1/1/8000,,,0,28,,,,2012
7,Arkansas PERS,1,General State and Local Employees,3,,4,2012,9999,,.005,,,,,,  7/1/2009,  1/1/8000,,,29,9999,,,,2012
7,Arkansas PERS,2,General Assembly,1,,1,2012,9999,,,.42,,,,,,,,,,,,,,2012
7,Arkansas PERS,2,General Assembly,2,,1,2012,9999,,,.42,,,,,,,,,,,,,,2012
7,Arkansas PERS,2,General Assembly,3,,1,2012,9999,,,.42,,,,,,,,,,,,,,2012
7,Arkansas PERS,3,Judges,0,,1,2012,9999,,.025,,,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,1,2012,9999,,.011,,,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,2,2012,9999,,.0128,,51,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,3,2012,9999,,.0146,,52,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,4,2012,9999,,.0164,,53,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,5,2012,9999,,.0182,,54,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,6,2012,9999,,.02,,55,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,7,2012,9999,,.0206,,56,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,8,2012,9999,,.0213,,57,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,9,2012,9999,,.0219,,58,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,10,2012,9999,,.0225,,59,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,11,2012,9999,,.0231,,60,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,12,2012,9999,,.0238,,61,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,13,2012,9999,,.0244,,62,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,1,1/1/1800,14,2012,9999,,.025,,63,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,1,2012,9999,,.0109,,,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,2,2012,9999,,.0116,,51,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,3,2012,9999,,.0122,,52,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,4,2012,9999,,.013,,53,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,5,2012,9999,,.0138,,54,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,6,2012,9999,,.0146,,55,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,7,2012,9999,,.0155,,56,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,8,2012,9999,,.0165,,57,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,9,2012,9999,,.0176,,58,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,10,2012,9999,,.0187,,59,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,11,2012,9999,,.02,,60,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,12,2012,9999,,.0213,,61,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,13,2012,9999,,.0227,,62,,,,,,,,,,,,,2012
9,California PERF,1,State Miscellaneous - Tier 1,2, 1/15/2011,14,2012,9999,,.0242,,63,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,1,2012,9999,,.005,,,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,2,2012,9999,,.0055,,51,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,3,2012,9999,,.006,,52,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,4,2012,9999,,.0065,,53,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,5,2012,9999,,.007,,54,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,6,2012,9999,,.0075,,55,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,7,2012,9999,,.008,,56,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,8,2012,9999,,.0085,,57,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,9,2012,9999,,.009,,58,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,10,2012,9999,,.0095,,59,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,11,2012,9999,,.01,,60,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,12,2012,9999,,.0105,,61,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,13,2012,9999,,.011,,62,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,14,2012,9999,,.0115,,63,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,15,2012,9999,,.012,,64,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,1,1/1/1800,16,2012,9999,,.0125,,65,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,1,2012,9999,,.005,,,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,2,2012,9999,,.0055,,51,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,3,2012,9999,,.006,,52,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,4,2012,9999,,.0065,,53,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,5,2012,9999,,.007,,54,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,6,2012,9999,,.0075,,55,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,7,2012,9999,,.008,,56,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,8,2012,9999,,.0085,,57,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,9,2012,9999,,.009,,58,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,10,2012,9999,,.0095,,59,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,11,2012,9999,,.01,,60,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,12,2012,9999,,.0105,,61,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,13,2012,9999,,.011,,62,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,14,2012,9999,,.0115,,63,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,15,2012,9999,,.012,,64,,,,,,,,,,,,,2012
9,California PERF,2,State Miscellaneous - Tier 2,2, 1/15/2011,16,2012,9999,,.0125,,65,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,1,2012,9999,,.011,,,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,2,2012,9999,,.0128,,51,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,3,2012,9999,,.0146,,52,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,4,2012,9999,,.0164,,53,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,5,2012,9999,,.0182,,54,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,6,2012,9999,,.02,,55,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,7,2012,9999,,.0206,,56,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,8,2012,9999,,.0213,,57,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,9,2012,9999,,.0219,,58,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,10,2012,9999,,.0225,,59,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,11,2012,9999,,.0231,,60,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,12,2012,9999,,.0238,,61,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,13,2012,9999,,.0244,,62,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,1,1/1/1800,14,2012,9999,,.025,,63,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,1,2012,9999,,.0109,,,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,2,2012,9999,,.0116,,51,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,3,2012,9999,,.0122,,52,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,4,2012,9999,,.013,,53,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,5,2012,9999,,.0138,,54,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,6,2012,9999,,.0146,,55,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,7,2012,9999,,.0155,,56,,,,,,,,,,,,,2012
9,California PERF,4,State Industrial - Tier 1,2, 1/15/2011,8,2012,9999,,.0165,,57,,,,,,,,,,,,,2012
