ppd_id,PlanName_check,EEGroupID,EEGroupName_check,TierID,TierName,TierDesc,TierHireDate,TierClosedDate,TierFutureAge,TierFutureTenure,TierFuturePoints,TierFutureDateStart,TierFutureDateEnd,notes_TierBasics,SubTierID
13,Colorado Municipal,0,All,5,,Hired on and after 1/1/2017,  1/1/2017,  1/1/8000,,,,,,,
14,Colorado School,0,All,0,,,,,,,,,,,
14,Colorado School,0,All,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800, 6/30/2005,,,,,,,
14,Colorado School,0,All,2,,"Hired on and after 7/1/2005 but before 1/1/2007, and who have 5 or more years of service credit as of 1/1/2011",  7/1/2005,12/31/2006,,,,,,,
14,Colorado School,0,All,3,,"Hired on and after 1/1/2007 but before 1/1/2011, or who have less than 5 years of service credit as of 1/1/2011",  1/1/2007,12/31/2010,,,,,,,
14,Colorado School,0,All,4,,Hired on and after 1/1/2011,  1/1/2011,12/31/2017,,,,,,,
14,Colorado School,0,All,5,,Hired on and after 1/1/2017,  1/1/2017,  1/1/8000,,,,,,,
15,Colorado State,0,State Employees,0,,,,,,,,,,,
15,Colorado State,1,State Employees,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800, 6/30/2005,,,,,,,
15,Colorado State,1,State Employees,2,,"Hired on and after 7/1/2005 but before 1/1/2007, and who have 5 or more years of service credit as of 1/1/2011",  7/1/2005,12/31/2006,,,,,,,
15,Colorado State,1,State Employees,3,,"Hired on and after 1/1/2007 but before 1/1/2011, or who have less than 5 years of service credit as of 1/1/2011",  1/1/2007,12/31/2010,,,,,,,
15,Colorado State,1,State Employees,4,,Hired on and after 1/1/2011 but before 1/1/2017,  1/1/2011,12/31/2017,,,,,,,
15,Colorado State,1,State Employees,5,,Hired on and after 1/1/2017,  1/1/2017,  1/1/8000,,,,,,,
15,Colorado State,2,State Troopers,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800,12/31/2010,,,,,,,
15,Colorado State,2,State Troopers,2,,Hired on and after 1/1/2011,  1/1/2011,  1/1/8000,,,,,,,
16,Connecticut SERS,0,General Employees-Tier I/Plan B,0,,,,,,,,,,,
16,Connecticut SERS,1,General Employees-Tier I/Plan B,1,,,1/1/1800, 6/30/1984,,,,,,,
16,Connecticut SERS,2,General Employees-Tier I/Plan C,1,,,1/1/1800, 6/30/1984,,,,,,,
16,Connecticut SERS,3,General Employees-Tier II,1,,,  7/1/1984, 6/30/1997,60,25,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,3,General Employees-Tier II,2,,,  7/1/1984, 6/30/1997,62,10,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,3,General Employees-Tier II,3,,,  7/1/1984, 6/30/1997,70,5,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,3,General Employees-Tier II,4,,,  7/1/1984, 6/30/1997,60,25,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,3,General Employees-Tier II,5,,,  7/1/1984, 6/30/1997,62,5,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,3,General Employees-Tier II,6,,,  7/1/1984, 6/30/1997,63,25,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,3,General Employees-Tier II,7,,,  7/1/1984, 6/30/1997,65,10,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,3,General Employees-Tier II,8,,,  7/1/1984, 6/30/1997,70,5,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,4,General Employees-Tier IIA,1,,,  7/1/1984, 6/30/1997,60,25,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,4,General Employees-Tier IIA,2,,,  7/1/1997, 6/30/2011,62,10,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,4,General Employees-Tier IIA,3,,,  7/1/1997, 6/30/2011,70,5,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,4,General Employees-Tier IIA,4,,,  7/1/1997, 6/30/2011,60,25,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,4,General Employees-Tier IIA,5,,,  7/1/1997, 6/30/2011,62,5,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,4,General Employees-Tier IIA,6,,,  7/1/1997, 6/30/2011,63,25,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,4,General Employees-Tier IIA,7,,,  7/1/1997, 6/30/2011,65,10,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,4,General Employees-Tier IIA,8,,,  7/1/1997, 6/30/2011,70,5,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,5,General Employees-Tier III,1,,,  7/1/2011,  1/1/8000,,,,,,,
16,Connecticut SERS,6,Tier III/Hybrid,1,,,  7/1/2011,  1/1/8000,,,,,,,
16,Connecticut SERS,7,Hazardous Duty-Tier I,1,,,1/1/1800, 6/30/1984,,,,,,,
16,Connecticut SERS,8,Hazardous Duty-Tier II,1,,,  7/1/1984, 6/30/1997,,,,,,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,1,,,  7/1/1997, 6/30/2011,60,25,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,2,,,  7/1/1997, 6/30/2011,62,10,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,3,,,  7/1/1997, 6/30/2011,70,5,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,4,,,  7/1/1997, 6/30/2011,60,25,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,5,,,  7/1/1997, 6/30/2011,62,5,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,6,,,  7/1/1997, 6/30/2011,63,25,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,7,,,  7/1/1997, 6/30/2011,65,10,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,8,,,  7/1/1997, 6/30/2011,70,5,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,10,Hazardous Duty-Tier III,1,,,  7/1/2011,  1/1/8000,,,,,,,
16,Connecticut SERS,11,Tier II/Hybrid,1,,,  7/1/1984, 6/30/1997,60,25,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,11,Tier II/Hybrid,2,,,  7/1/1984, 6/30/1997,62,10,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,11,Tier II/Hybrid,3,,,  7/1/1984, 6/30/1997,70,5,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,11,Tier II/Hybrid,4,,,  7/1/1984, 6/30/1997,60,25,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,11,Tier II/Hybrid,5,,,  7/1/1984, 6/30/1997,62,5,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,11,Tier II/Hybrid,6,,,  7/1/1984, 6/30/1997,63,25,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,11,Tier II/Hybrid,7,,,  7/1/1984, 6/30/1997,65,10,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,11,Tier II/Hybrid,8,,,  7/1/1984, 6/30/1997,70,5,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,12,Tier IIA/Hybrid,1,,,  7/1/1997, 6/30/2011,60,25,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,12,Tier IIA/Hybrid,2,,,  7/1/1997, 6/30/2011,62,10,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,12,Tier IIA/Hybrid,3,,,  7/1/1997, 6/30/2011,70,5,,1/1/1800, 6/30/1997,,
16,Connecticut SERS,12,Tier IIA/Hybrid,4,,,  7/1/1997, 6/30/2011,60,25,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,12,Tier IIA/Hybrid,5,,,  7/1/1997, 6/30/2011,62,5,,  7/1/1997, 6/30/2022,,
16,Connecticut SERS,12,Tier IIA/Hybrid,6,,,  7/1/1997, 6/30/2011,63,25,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,12,Tier IIA/Hybrid,7,,,  7/1/1997, 6/30/2011,65,10,,  7/1/2022,  1/1/8000,,
16,Connecticut SERS,12,Tier IIA/Hybrid,8,,,  7/1/1997, 6/30/2011,70,5,,  7/1/2022,  1/1/8000,,
17,Connecticut Teachers,0,All Groups,0,,,,,,,,,,,
18,Contra Costa County,0,General ,0,,,,,,,,,,,
18,Contra Costa County,1,General ,1,Tier 1 (pre 1980),,1/1/1800,30jun1980,,,,,,,
18,Contra Costa County,1,General ,2,Tier 3 (1980-2012),,01jul1980,12/31/2012,,,,,,,
18,Contra Costa County,1,General ,3,Tier 5 (2013+),,01jan2013,  1/1/8000,,,,,,,
18,Contra Costa County,2,Safety ,1,Tier 1 (pre 2013),,1/1/1800,12/31/2012,,,,,,,
18,Contra Costa County,2,Safety ,2,Tier 2 (2013+),,  1/1/2013,  1/1/8000,,,,,,,
19,DC Police & Fire,0,All Employees,0,,,,,,,,,,,
19,DC Police & Fire,1,All Employees,1,Tier 1,,1/1/1800, 2/14/1980,,,,,,,
19,DC Police & Fire,1,All Employees,2,Tier 2,, 2/15/1980, 11/9/1996,,,,,,,
19,DC Police & Fire,1,All Employees,3,Tier 3,,11/10/1996,  1/1/8000,,,,,,,
19,DC Police & Fire,2,All Employees,1,Tier 1,,1/1/1800, 2/14/1980,,,,,,,
19,DC Police & Fire,2,All Employees,2,Tier 2,, 2/15/1980, 11/9/1996,,,,,,,
19,DC Police & Fire,2,All Employees,3,Tier 3,,11/10/1996,  1/1/8000,,,,,,,
20,DC Teachers,0,All Employees,0,,,,,,,,,,,
20,DC Teachers,0,All Employees,1,Tier 1,,1/1/1800,10/31/1996,,,,,,,
20,DC Teachers,0,All Employees,2,Tier 2,, 11/1/1996,  1/1/8000,,,,,,,
21,Delaware State Employees,0,All Employees,0,,,,,,,,,,,
21,Delaware State Employees,0,All Employees,1,Hired pre 2012,,1/1/1800,12/31/2011,,,,,,,
21,Delaware State Employees,0,All Employees,2,2012+,,  1/1/2012,  1/1/8000,,,,,,,
22,Denver Employees,0,All Employees,0,,,,,,,,,,,
22,Denver Employees,0,All Employees,1,Tier 1 (1963-2004),,  1/1/1963, 8/31/2004,,,,,,,
22,Denver Employees,0,All Employees,2,Tier 2 (2004-2011),,  9/1/2004, 6/30/2011,,,,,,,
22,Denver Employees,0,All Employees,3,Tier 3 (2011-2014),,  7/1/2011,12/31/2013,,,,,,,
22,Denver Employees,0,All Employees,4,Tier 4 (2014+),,  1/1/2014,  1/1/8000,,,,,,,
23,Denver Schools,0,All Employees,0,,,,,,,,,,,
23,Denver Schools,0,All Employees,1,"Pre 2010, 5 YOS by 1/1/2011",Hired pre merge,1/1/1800,12/31/2009,,5,,  1/1/2011,  1/1/8000,,
23,Denver Schools,0,All Employees,2,"Pre 2010, no 5 YOS by 1/1/2011",Hired pre merge,1/1/1800,12/31/2009,,,,,,,
23,Denver Schools,0,All Employees,3,"Post 2010 (PERA), but pre 2011 (automatically less than 5 YOS by 2011)",PERA,  1/1/2010,12/31/2010,,,,,,,
23,Denver Schools,0,All Employees,4,2011+,"PERA; members hired on/after 2011, and members hired on/after 2017 whose last 10 years of service are in DPS",  1/1/2011,  1/1/8000,,,,,,,
24,Duluth Teachers,0,All Employees,0,,,,,,,,,,,
24,Duluth Teachers,0,All Employees,1,Old Plan: Hired pre 1981,,1/1/1800, 6/30/1981,,,,,,,
24,Duluth Teachers,0,All Employees,2,"New Plan, Tier 1: Hired 1981+",,  7/1/1981, 6/30/1989,,,,,,,
24,Duluth Teachers,0,All Employees,3,"New Plan, Tier 2A: Hired 1989+",,  7/1/1989, 6/30/2010,,,,,,,
24,Duluth Teachers,0,All Employees,4,"New Plan, Tier 2B: Hired 2010+",,  7/1/2010,  1/1/8000,,,,,,,
25,Fairfax County Schools,0,All Employees,0,,,,,,,,,,,
25,Fairfax County Schools,0,All Employees,1,Tier 1 (1988-2001),,  7/1/1988, 6/30/2001,,,,,,,
25,Fairfax County Schools,0,All Employees,2,Tier 2 (2001+),,  7/1/2001,  1/1/8000,,,,,,,
26,Florida RS,0,Regular,0,,,,,,,,,,,
26,Florida RS,1,Regular,1,,,1/1/1800, 6/30/2011,,,,,,,
26,Florida RS,1,Regular,2,,,  7/1/2011,  1/1/8000,,,,,,,
26,Florida RS,2,Senior Mgmt.,1,,,1/1/1800, 6/30/2011,,,,,,,
26,Florida RS,2,Senior Mgmt.,2,,,  7/1/2011,  1/1/8000,,,,,,,
26,Florida RS,3,Special Risk,1,,,1/1/1800, 6/30/2011,,,,,,,
26,Florida RS,3,Special Risk,2,,,  7/1/2011,  1/1/8000,,,,,,,
26,Florida RS,4,Special Risk Admin,1,,,1/1/1800, 6/30/2011,,,,,,,
26,Florida RS,4,Special Risk Admin,2,,,  7/1/2011,  1/1/8000,,,,,,,
26,Florida RS,5,Elected Officials,1,,,1/1/1800, 6/30/2011,,,,,,,
26,Florida RS,5,Elected Officials,2,,,  7/1/2011,  1/1/8000,,,,,,,
27,Georgia ERS,0,All Employees,0,,,,,,,,,,,
27,Georgia ERS,0,All Employees,1,Old Plan,Members hired prior to July 1st 1982,1/1/1800, 6/30/1982,,,,,,,
27,Georgia ERS,0,All Employees,2,New Plan,Members hired on or after July 1st 1982 through December 31 2008,  7/1/1982,12/31/2008,,,,,,,
27,Georgia ERS,0,All Employees,3,GSEPS,Members hired on or after January 1st 2009,  1/1/2009,  1/1/8000,,,,,,,
28,Georgia Teachers,0,All Groups,0,,,,,,,,,,,
29,Hawaii ERS,0,Police & Fire,0,,,,,,,,,,,
29,Hawaii ERS,1,Police & Fire,1,Tier I (pre 1971) Contributory,,1/1/1800, 6/30/1970,,,,,,,
29,Hawaii ERS,1,Police & Fire,2,Tier II (1971-2012) Contributory,,  7/1/1970, 6/30/2012,,,,,,,
29,Hawaii ERS,1,Police & Fire,3,Tier III (2012+) Contributory,,  7/1/2012,  1/1/8000,,,,,,,
29,Hawaii ERS,2,Teachers,1,Tier I (pre 1971) NonContributory,,1/1/1800, 6/30/1970,,,,,,,
29,Hawaii ERS,2,Teachers,2,Tier II (1971-2006) NonContributory,,  7/1/1970, 6/30/2006,,,,,,,
29,Hawaii ERS,2,Teachers,3,Tier III (2006-2012) Hybrd,,  7/1/2006, 6/30/2012,,,,,,,
29,Hawaii ERS,2,Teachers,4,Tier IV (2012+) Hybrid,,  7/1/2012,  1/1/8000,,,,,,,
29,Hawaii ERS,3,General Employees,1,Tier I (pre 1971) NonContributory,,1/1/1800, 6/30/1970,,,,,,,
29,Hawaii ERS,3,General Employees,2,Tier II (1971-2006) NonContributory,,  7/1/1970, 6/30/2006,,,,,,,
29,Hawaii ERS,3,General Employees,3,Tier III (2006-2012) Hybrd,,  7/1/2006, 6/30/2012,,,,,,,
29,Hawaii ERS,3,General Employees,4,Tier IV (2012+) Hybrid,,  7/1/2012,  1/1/8000,,,,,,,
30,Houston Firefighters,0,All Employees,0,,,,,,,,,,,
30,Houston Firefighters,0,All Employees,1,Tier 1 (pre 1987),,1/1/1800, 8/31/1987,,,,,,,
30,Houston Firefighters,0,All Employees,2,Tier 2 (1987+),,  9/1/1987,  1/1/8000,,,,,,,
31,Idaho PERS,0,General State and Local Employees,0,,,,,,,,,,,
31,Idaho PERS,1,General State and Local Employees,0,,,,,,,,,,,
31,Idaho PERS,2,Teachers,0,,,,,,,,,,,
31,Idaho PERS,3,Police and Fire,0,,,,,,,,,,,
33,Illinois SERS,0,All Employees,0,,,,,,,,,,,
33,Illinois SERS,1,All Employees,1,,Members hired before January 1st 2011,1/1/1800,12/31/2010,,,,,,,
33,Illinois SERS,1,All Employees,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,
33,Illinois SERS,2,All Employees,1,,Members hired before January 1st 2011,1/1/1800,12/31/2010,,,,,,,
33,Illinois SERS,2,All Employees,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,
33,Illinois SERS,3,All Employees,1,,Members hired before January 1st 2011,1/1/1800,12/31/2010,,,,,,,
33,Illinois SERS,3,All Employees,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,
33,Illinois SERS,4,All Employees,1,,Members hired before January 1st 2011,1/1/1800,12/31/2010,,,,,,,
33,Illinois SERS,4,All Employees,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,
34,Illinois Teachers,0,All Employees,0,,,,,,,,,,,
34,Illinois Teachers,0,All Employees,1,,Members hired prior to January 1st 2011,1/1/1800,12/31/2010,,,,,,,
34,Illinois Teachers,0,All Employees,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,
35,Illinois Universities,0,All,0,,,,,,,,,,,
35,Illinois Universities,1,All,1,,Members hired prior to July 1st 2005,1/1/1800,6/31/2005,,,,,,,
35,Illinois Universities,1,All,2,,Members hired on or after July 1st 2005 and before January 1st 2011.,  7/1/2005,12/31/2010,,,,,,,
