PlanName,DataEntryCode,source_FundingAndMethods,notes_FundingAndMethods,initials_FundingAndMethods,AssetValMeth,PhaseIn,AssetValMeth_note,ActCostMeth,ActCostMeth_note,FundingMeth,FundingMeth_note,ppd_id,EEGroupID,TierID,fy,scaled_check,MktAssets_Smooth,ActAssets_Smooth,NetFlows_smooth,AssetValMethCode,SmoothingReset,GainlossConcept,GainLossBase_1,GainLossBase_2,GainLoss,GainLossPeriod,PhaseInPercent,PhaseInPeriods,PhaseInType,GainLossRecognition,AssetSmoothingBaseline,ExpectedReturnMethod,AddSubtractGainLoss,UpperCorridor,LowerCorridor,ActCostMethCode,FundMethCode_1,FundMethCode_2,PayrollGrowthAssumption,TotAmortPeriod,RemainingAmortPeriod,UAALYearEstablished,WageInflation
Alaska PERS,,,,,,,,,,,,3,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,,,,,,,,,,,3,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska PERS,,p. 42 Section 2.3 Actuarial Value of Assets,,jp,,-500820; 670244; 87855; -2243791; -928079,,,,,,3,0,0,2012,0,6118294,6530421,-144573,0,0,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska PERS,,p. 42 Section 2.3 Actuarial Value of Assets,,jp,,248196;-500820;670244;87855;-2243791,,,,,,3,0,0,2013,0,6694482,6510749,-155376,0,0,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska PERS,,p. 37 Section 2.3 Actuarial Value of Assets,,CC,,0; 0; 0; 0; 0,,,,,,3,0,0,2014,0,7731438,7731438,-162354,0,1,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska PERS,,2015 AV p. 34  Section 2.3 Actuarial Value of Assets . p 92 sal growth,Contribution inclues state assistance contrbutions for ActAssets calculations,CM,,0; 0; 0; 0; 0; 0,,,,,,3,0,0,2015,0,8606862,8931160,629630,0,1,0,1,2,,0,.2,5,0,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska PERS,1,,,TP,,,,,,,,3,0,0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,,,,,,,,,,,4,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Teachers,,p. 33 Section 2.3 Actuarial Value of Assets,,jp,,-245962;343969;57127;-1104046;-451260,,,,,,4,0,0,2012,0,3006647,3194994,-116243,0,0,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska Teachers,,p. 33 Section 2.3 Actuarial Value of Assets,,jp,,134227;-245962;343969;57127;-1104046,,,,,,4,0,0,2013,0,3279130,3170313,-98415,0,0,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska Teachers,,p. 31 Section 2.3 Actuarial Value of Assets,,CC,,0; 0; 0; 0; 0,,,,,,4,0,0,2014,0,3771139,3771139,-104816,0,1,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska Teachers,,2015 AV p. 28 Section 2.3 Actuarial Value of Assets,,CM,,0; 0; 0; 0; 0; 0,,,,,,4,0,0,2015,0,5246955,5422651,1326035,0,1,0,1,2,,0,.2,5,1,0,1,,0,1.2,.8,,,,.0362,,,,.0312
Alaska Teachers,1,,,TP,,,,,,,,4,0,0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Public Safety Personnel,,,,,,,,,,,,5,0,0,2012,,,,,,,,,,,,,,,,,,,,,,,,.05,,,,.05
Arizona Public Safety Personnel,,p. 20 DEVELOPMENT OF FUNDING VALUE OF ASSETS (7-YEAR SMOOTHING),,jp,,9994.296; -75653.848; 42476.982; 9922.277; -192391.612; -124481.914; 50985.948,,,,,,5,0,0,2013,0,5557274.418,6185073.611,-68751.086,0,0,0,1,2,,0,.1428571428571429,7,0,0,4,1,1,1.2,.8,,,,.045,,,,.045
Arizona Public Safety Personnel,,p. 23 DEVELOPMENT OF FUNDING VALUE OF ASSETS (7-YEAR SMOOTHING),,JFP,,33458.496; 9542.555; -72234.304; 40557.028; 9473.791; -183695.537; -118855.348,,,,,,5,0,0,2014,0,5935524.128,6018984.092,-65772.60799999999,0,0,0,1,2,,0,.1428571428571429,7,0,0,4,1,1,1.2,.8,,,,.04,,,,.04
Arizona Public Safety Personnel,,p. 26 DEVELOPMENT OF FUNDING VALUE OF ASSETS (7-YEAR SMOOTHING),,CM,,-36894.248; 33458.496; 9542.555; -72234.304; 40557.028; 9473.791; -183695.537,,,,,,5,0,0,2015,0,6075768.72,6217786.571000001,-71191.648,0,0,0,1,2,,0,.1428571428571429,7,0,0,4,1,1,1.2,.8,,,,.04,,,,.04
Arizona Public Safety Personnel,,2016 AV p.26 DEVELOPMENT OF FUNDING VALUE OF ASSETS (7-YEAR SMOOTHING),,CM,,-64250.729;-36894.248; 33458.496; 9542.555; -72234.304; 40557.028; 9473.791,,,,,,5,0,0,2016,0,6042477.418,6553902.958,-68927.061,0,0,0,1,2,,0,.1428571428571429,7,0,0,4,1,1,1.2,.8,,,,.04,,,,.04
Arizona SRS,,,,,,,,,,,,6,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona SRS,,,,,,,,,,,,6,0,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,.04
Arizona SRS,,p. 18 Exhibit 3.3a - Development of Actuarial Value of Assets (401(a) Only),,jp,,1268151.988; -1792377.102; 3588521.827; 1259547.369; -6298770.518; -4056160.67; 2181339.141; 385506.263; 86948.97,,,,,,6,0,0,2013,0,28677043.323,29733566.151,-718908.6970000002,0,0,0,1,2,,0,.9,10,1,1,1,,0,,,,,,,,,,.03
Arizona SRS,,p. 18 Exhibit 3.3a - Development of Actuarial Value of Assets (401(a) Only),,YC,,3179372.871; 1268151.988; -1792377.102; 3588521.827; 1259547.369; -6298770.518; -4056160.67; 2181339.141; 385506.263,,,,,,6,0,0,2014,0,33337146.512,31194504.482,-799100.0929999999,0,0,0,1,2,,0,.9,10,1,1,1,,0,,,,,,,,,,.03
Arizona SRS,,p. 19 Exhibit 3.3a - Development of Actuarial Value of Assets (401(a) Only),,CM,,-1806094.137; 3179372.871; 1268151.988; -1792377.102; 3588521.827; 1259547.369; -6298770.518; -4056160.67; 2181339.141,,,,,,6,0,0,2015,0,33329078.636,32783434.444,-852423.809,0,0,0,1,2,,0,.9,10,1,1,1,,0,,,,,,.03,,,,.03
Arizona SRS,,2016 AV p. 18 Exhibit 3.3a - Development of Actuarial Value of Assets (401(a) Only) payroll growth p 48,,CM,,-2418716.644; -1806094.137; 3179372.871; 1268151.988; -1792377.102; 3588521.827; 1259547.369; -6298770.518; -4056160.67,,,,,,6,0,0,2016,0,32586838.75,33970392.617,-964868.7529999998,0,0,0,1,2,,0,.9,10,1,1,1,,0,,,,,,.03,,,,.03
Arkansas PERS,,,,,,,,,,,,7,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas PERS,,,,,,,,,,,,7,0,0,2012,,,,,,,,,,,,,,,,,,,,,,,,.04,,,,.04
Arkansas PERS,,p. 29 DEVELOPMENT OF FUNDING VALUE OF ASSETS,,jp,,99452.354; -113679.245; 188186.269; 16984.965,,,,,,7,0,0,2013,0,6418518.612,6159333.771,-102964.014,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.25,.75,,,,.04,,,,.04
Arkansas PERS,,p. 30 DEVELOPMENT OF FUNDING VALUE OF ASSETS,,JFP,,177354.370; 99452.354; -113679.245; 188186.268,,,,,,7,0,0,2014,0,7512167.348,6894878.773,-104393.272,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.25,.75,,,,.0375,,,,.0375
Arkansas PERS,,p. 31 DEVELOPMENT OF FUNDING VALUE OF ASSETS,,jp,,"-91,741.812;177354.370; 99452.354; -113679.245",,,,,,7,0,0,2015,0,7530670.312,7351734.654,-143395.439,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.25,.75,,,,.0325,,,,.0325
Arkansas PERS,,2016 AV p. 31 DEVELOPMENT OF FUNDING VALUE OF ASSETS,,CM,,"-137232.597; -91,741.812;177354.370; 99452.354",,,,,,7,0,0,2016,0,7350771.708,7768871.751,-175483.016,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.25,.75,,,,.0325,,,,.0325
Arkansas Teachers,,,,,,,,,,,,8,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,,,,,,,,,8,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Teachers,,,,jp,,338179.073; 99652.124; -465185.644; -330102.708,,,,,,8,0,0,2011,0,11894877.338,11146221.518,-200981.038,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.2,.8,,,,.0325,,,,.0325
Arkansas Teachers,,,,jp,,-251680.375; 338179.073; 99652.124; -465185.645,,,,,,8,0,0,2012,0,11483885.509,11483885.509,-284584.663,0,1,0,1,4,,0,.25,4,0,0,4,2,1,1.2,.8,,,,.0325,,,,.0325
Arkansas Teachers,,p. 33 DEVELOPMENT OF FUNDING VALUE OF ASSETS,,jp,,194253.461; 0; 0; 0,,,,,,8,0,0,2013,0,12829565.578,12246805.197,-336581.359,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.2,.8,,,,.0325,,,,.0325
Arkansas Teachers,,p. 30 (D-3) DEVELOPMENT OF FUNDING VALUE OF ASSETS,,jp,,364334.749; 194253.461; 0; 0,,,,,,8,0,0,2014,0,14856276.668,13374765.5,-394588.772,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.2,.8,,,,.0325,,,,.0325
Arkansas Teachers,,2015 ARTS AV p32,,CC,,-107015.212; 364334.749; 194253.461; 0,,,,,,8,0,0,2015,0,15035701.313,14433823.989,-444707.451,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.2,.8,,,,.0325,,,,.0325
Arkansas Teachers,,2016 ARTS AV p32,,CC,,-276749.871; -107015.212; 364334.749; 194253.459,,,,,,8,0,0,2016,0,14558576.729,15238522.015,-504645.21,0,0,0,1,4,,0,.25,4,0,0,4,2,1,1.2,.8,,,,.0325,,,,.0325
California PERF,,,,,,,,,,,,9,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,,,,,,,,,,,9,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California PERF,,p. 24 State and Schools AV - Development of the Actuarial Value of Assets,Only state and school plans.  No public Agency.,jp,,,,,,,,9,0,0,2012,1,132947058.516,159220023.816,-3033340.142,0,0,1,1,4,,0,.0666666666666667,1,,,4,2,1,1.2,.8,,,,.03,,,,
California PERF,,p. 24 State AV - Development of the Actuarial Value of Assets,Only state and school plans.  No public Agency.,jp,,,,,,,,9,0,0,2013,1,146341557.347,167239293.869,-2955954.609999999,0,0,1,1,4,,0,.0666666666666667,1,,,4,2,1,1.2,.8,,,,.03,,,,
California PERF,,p. 24 State AV - Development of the Actuarial Value of Assets,Only state and school plans.  No public Agency.,jp,,,,,,,,9,0,0,2014,1,168187864.144,168187864.144,-3263469.224999999,1,0,1,1,4,,0,.0666666666666667,1,,,4,2,1,1.2,.8,,,,.03,,,,
California PERF,2,2015 CALPERSAV staTe p.21 Development of the Actuarial Value of Assets. School p.19 - Reconciliation of the market value of Assets,1. check ActAssets; No 2015 actuarial value of assets?,CM,,,,,,,,9,0,0,2015,1,162046864.061,162046864.061,-1754155.305,1,0,,,,,,,,,,,,,,,,,,.03,,,,
California PERF,1,,,TP,,,,,,,,9,0,0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,,,,,,,,,,,10,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Teachers,,p. 27 Table 5 Actuarial Value of Assets,,jp,,,,,,,,10,0,0,2012,0,143118000,152515000,-4958000,0,0,1,1,4,,0,.3333333333333333,1,,,4,2,1,,,,,,.0375,,,,.0375
California Teachers,,p. 29 Table 5 Actuarial Value of Assets,,jp,,,,,,,,10,0,0,2013,0,157176000,157883000,-5510000,0,0,1,1,4,,0,.3333333333333333,1,,,4,2,1,,,,,,.0375,,,,.0375
California Teachers,,p. 32 Table 5 Actuarial Value of Assets,,jp,,,,,,,,10,0,0,2014,0,179749000,166838000,-6113000,0,0,1,1,4,,0,.3333333333333333,1,,,4,2,1,,,,,,.0375,,,,.0375
California Teachers,,p. 26-27 Table 5 Actuarial Value of Assets,,CM,,,,,,,,10,0,0,2015,0,180633000,177059000,-6003000,0,0,1,1,4,,0,.3333333333333333,1,,,4,2,1,,,,,,.0375,,,,.0375
California Teachers,,2016 plan AV p34-35,,CC,,,,,,,,10,0,0,2016,0,177914000,182772000,-4951000,0,0,1,1,4,,0,.3333333333333333,1,,,4,2,1,,,,,,.035,,,,.035
Chicago Teachers,,,,,,,,,,,,11,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
