PlanName,DataEntryCode,source_IncomeStatement,notes_IncomeStatement,initials_IncomeStatement_check,FVChange_SecLend,expense_SecLendMgmtFees,FVChange_SecLend_UG,CAFR_check,AV_check,LastYearOfData_check,ppd_id,EEGroupID,TierID,fy,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net
Alaska PERS,,2016 AK PERS CAFR p 36,,TP,,,,,,,3,0,0,2016,96024,235360,88586,,,,0,419970,-184340,,31806,120406,152212,,,,,,,,,,-17839,,,,240,370243,-732141,-732141,,,,,,,,-10034,-7243,,,-749418,,8227687
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2001,39805,52399,,,,,0,92204,-327201,,72603,62514,135117,,,,,,,,,,-8366,,,,3,-108243,-210945,-210945,,,,,,,,-3058,-1583,,,-215586,,3302567
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2002,41724,50161,,,,,0,91885,-289117,,66717,45476,112193,,,,,,,,,,-7146,,,,73,-92112,-222897,-222897,,,,,,,,-2549,-1712,,,-227158,,2983297
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2003,44518,50157,,,,,0,94675,1607,,48782,45051,93833,,,,,,,,,,-6430,,,,34,183719,-244518,-244518,,,,,,,,-3064,-1911,,,-249493,,2917523
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2004,45505,54492,,,,,0,99997,322858,,45025,47238,92263,,,,,,,,,,-7415,,,,61,507764,-255409,-255409,,,,,,,,-3323,-1748,,,-260480,,3164807
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2005,40973,68448,,,,,0,109421,159596,,37817,48484,86301,,,,,,,,,,-6833,5075,-4547,,7,349021,-269414,-269414,,,,,,,,-3202,-1485,,,-274101,,3239727
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2006,41512,91902,,,,,0,133414,235464,,39941,55989,95930,,,,,,,,,,-7659,11023,-10369,,10909,468713,-281205,-281205,,,,,,,,-2752,-1560,,,-285517,,3422923
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2007,38346,105775,,,,,0,144121,431298,,39239,73327,112566,,,,,,,,,,-7250,16259,-15442,,15,681567,-293224,-293224,,,,,,,,-3123,-1649,,,-297996,,3806494
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2008,54121,31313,111237,,,,0,196671,-315129,,58061,126385,184446,,,,,,,,,,-10544,17913,-15979,,45,57423,-306689,-306689,,,,,,,,-3761,-2669,,,-313119,,3550798
Alaska Teachers,,,,,,,,,,,4,0,0,2009,53544,27110,104423,,,,0,185077,-933967,,36825,91021,127846,,,,,,,,,,-8017,,,,3,-629058,-319148,-319148,,,,,,,,-3622,-2537,,,-325307,,2596433
Alaska Teachers,,,,jp,,,,1,1,1,4,0,0,2010,56554,33800,100475,,,,0,190829,225483,,22033,28386,50419,,,,,,,,,,-7756,,,,9,458984,-332690,-332690,,,,,,,,-3472,-2698,,,-338860,,2716557
Alaska Teachers,,,,cmg,,,,,,,4,0,0,2011,55347,32804,109343,,,,0,197494,499430,,16780,51903,68683,,,,,,,,,,-9893,,,,54,755768,-343191,-343191,,,,,,,,-2798,-2806,,,-348795,,3123530
Alaska Teachers,,,,JFP,,,,,,,4,0,0,2012,52020,38189,157387,,,,0,247596,-64832,,16916,60024,76940,,,,,,,,,,-9918,,,,17,249803,-361202,-361202,,,,,,,,-2637,-2847,,,-366686,,3006647
Alaska Teachers,,,,CM ,,,,,,,4,0,0,2013,50201,37372,196945,,,,,284518,325741,,15013,44100,59113,,,,,,,,,,-10986,,,,19,658405,-380265,-380265,,,,,,,,-2668,-2989,,,-385922,,3279130
Alaska Teachers,,,,CM,,,,,,,4,0,0,2014,47724,37571,208890,,,,,294185,547138,,14255,51247,65502,,,,,,,,,,-12682,,,,27,894170,-396614,-396614,,,,,,,,-2387,-3160,,,-402161,,3771139
Alaska Teachers,,2015 AK TRS CAFR p35 ,,TP,,,,,,,4,0,0,2015,45506,36374,1662700,,,,,1744580,75069,,18195,68442,86637,,,,,,,,,,-9145,,,,9,1897150,-416354,-416354,,,,,,,,-2191,-2789,,,-421334,,5246955
Alaska Teachers,,2016 AK TRS CAFR p36,,TP,,,,,,,4,0,0,2016,42654,33478,90589,,,,,166721,-112740,,19281,72980,92261,,,,,,,,,,-10861,,,,95,135476,-435699,-435699,,,,,,,,-1883,-2648,,,-440230,,4942201
Arizona Public Safety Personnel,,,,kn,,-873.533,,,,,5,0,0,2001,58052.7649999999,52540.31,,,,,,110593.075,-1011022.691,,96845.38800000001,16910.483,113755.871,,,,,,,,,,-351.036999999999,72928.17299999989,-71305.8439999999,-70432.311,372.822,-785029.6310000001,-164727.744,-164727.744,,,,,,,,-6051.78499999999,-679.3719999999991,,,-171458.901,,4422062.25499999
Arizona Public Safety Personnel,,,,kn,,-1156.932,,,,,5,0,0,2002,62486.7249999999,51983.4069999999,,,,,,114470.132,-774840.348,,102871.389,15682.287,118553.676,,,,,,,,,,-431.807999999999,32301.5809999999,-30152.9209999999,-28995.989,6184.036,-533915.652,-185035.201999999,-185035.201999999,,,,,,,,-6057.924,-735.240999999999,,,-191828.367,,3696318.236
Arizona Public Safety Personnel,,,,kn,,-865.71,,,,,5,0,0,2003,67937.288,50800.669,,,,,,118737.956999999,120305.052,,93189.13400000001,18760.623,111949.757,,,,,,,,,,-438.053999999999,16702.054,-15094.24,-14228.53,1393.775,353556.300999999,-209715.238,-209715.238,,,,,,,,-6422.965,-812.331999999999,,-385.904999999999,-217336.44,,3832538.098
Arizona Public Safety Personnel,,,,kn,,-785.134999999999,,,,,5,0,0,2004,71874.18799999989,79000.13000000001,,,,,,150874.318,457065.391,,75718.53,28884.132,104602.662,37.86,,,,,,,,,-550.846999999999,11937.723,-10479.53,-9694.395,1281.703,714769.28,-229885.443999999,-229885.443999999,,,,,,,,-6390.643,-1099.932,,-196.287,-237572.304999999,,4309735.07299999
Arizona Public Safety Personnel,,,,kn,,-504.48,,,,,5,0,0,2005,67947.50599999991,104497.15,,,,,,172444.655999999,249836.883,,86350.883,46985.8759999999,133336.7589999999,,,,,,,,,,-692.280999999999,20834.935,-19785.8839999999,-19281.4039999999,9156.465,565131.5330000001,-257449.082999999,-246031.163999999,,,,,,,-11417.919,-7647.443,-1599.784,,-128.407,-266824.717,,4608041.889
Arizona Public Safety Personnel,,,,kn,,-416.449,,,,,5,0,0,2006,75616.322,127218.686,,9408.5,,,,212243.508,237238.575,,86613.24899999989,55502.47,142115.7189999999,,,,,,,,,,-814.081,41370.1639999999,-40398.2989999999,-39981.85,1125.085,592880.670999999,-284027.6419999999,-250984.602,,,-22839.1199999999,,,,-10203.92,-7225.72,-2979.511,,-291.161,-294524.033999999,,4906398.52599999
Arizona Public Safety Personnel,,,,kn,,-1008.292,,,,,5,0,0,2007,84629.709,166578.201999999,,9159.783999999991,,,,260367.693999999,649745.991999999,,89694.83100000001,75156.7949999999,164851.6259999999,,,,,,,,,,-1426.088,64286.063,-61933.226,-60924.934,1639.65799999999,1077531.718,-439336.16,-287376.44,,,-151959.72,,,,,-8708.528,-3971.338,,-120.511,-452136.536,,5531793.70799999
Arizona Public Safety Personnel,,,,kn,,-1118.383,,,,,5,0,0,2008,97156.8969999999,221732.592,,9483.07699999999,,,,328372.565999999,-582952.694999999,,90973.868,80380.182,171354.05,,,,,,,,,,-5484.75,38078.2189999999,-32500.348,-31381.965,1696.45599999999,-81436.50199999991,-418385.3149999989,-320477.663999999,,,-97907.6509999999,,,,,-7884.69499999999,-4661.87799999999,,-144.622,-431076.509,,5019280.69799999
Arizona Public Safety Personnel,,,,kn,,-1416.624,,,,,5,0,0,2009,101183.586,316222.272,,7625.66,,,0,425031.517999999,-991712.611,,46718.7059999999,82687.046,129405.7519999999,,,,,,,,,,-18519.4789999999,12445.7369999999,-4418.041,-3001.41699999999,584.336,-447182.788,-444352.21,-353483.943,,,-90868.26700000001,,,,,-7643.202,-4352.207,,-49.1689999999999,-456396.788,,4115701.122
Arizona Public Safety Personnel,,,,,,-547.024,,1,,1,5,0,0,2010,102141.54,288210.201999999,,10607.98,,,0,400959.722,483512.51,,25283.323,54737.396,80020.719,,,,,2961.95499999999,,,,,-16529.0309999999,2501.582,608.778,1155.80199999999,758.602999999999,954794.8379999991,-469481.6949999999,-386181.299,,,-83300.39599999991,,,,,-9975.440000000001,-4932.349,,-243.073,-484632.556999999,,4585863.40299999
Arizona Public Safety Personnel,,,,cmg,,-420.634999999999,,,,,5,0,0,2011,99262.27099999991,272445.607,,20936.194,,,,392644.071999999,722917.542,,11705.499,47559.2189999999,59264.71799999991,,,,,21719,,,,,-17022.966,1662.57199999999,722.860999999999,1143.496,304.180999999999,1182211.98,-534386.730999999,-422113.670999999,,,-112273.06,,,,,-11976.4159999999,-4776.38799999999,,-292.995999999999,-551432.530999999,,5216642.852
Arizona Public Safety Personnel,,,,JFP,,-200.103,,,,,5,0,0,2012,112645.371,295491.881999999,,13735.525,,1824.405,,423697.183,-106706.364,,11061.203,38835.919,49897.122,,,,,18926.446,,,,,-23779.649,350.694999999999,790.572999999999,990.676,539.6180000000001,363715.624,-507182.0149999999,-460700.737,,,-46481.2779999999,,,,,-12376.688,-4890.36399999999,,-81.3619999999999,-524530.429,,5055828.047
Arizona Public Safety Personnel,,,,JFP,,-150.212,,,,,5,0,0,2013,127362.618,365317.847,,6830.833,,2151.786,,501663.084,488713.869,,5113.784,39898.109,45011.893,,,,,59727.877,,,,,-52329.937,179.558,676.828,827.04,744.656,1044387.828,-552720.4570000001,-492506.527,,,-60213.93,,,,,-12819.713,-5104.446,,-514.209,-571158.825,,5277869.004
Arizona Public Safety Personnel,,,,CM,,-290.323,,,,,5,0,0,2014,141066.081,411724.217,,10956.659,,2121.397,,565868.3540000001,736692.213,,7074.419,41811.724,48886.143,,,,,55200.191,,,,,-118997.884,661.931,985.0469999999999,1275.37,775.283,1290071.369,-612104.8050000001,-527134.758,,,-84970.04700000001,,,,,-14434.714,-5826.248,,-50.478,-632416.245,,5935524.128
Arizona Public Safety Personnel,,2015 CAFR p 38,,CM,,-312.243,,,,,5,0,0,2015,154359.12,445332.135,,10432.945,,2765.422,,612889.622,178078.342,,3944.859,39658.369,43603.228,,,,,89758.86,,,,,-96927.84299999999,648.182,1124.963,1437.206,364.593,829539.947,-665138.192,-560333.924,,,-104804.268,,,,,-13897.612,-5386.939,,-23.119,-684445.862,-4849.493,6075768.72
Arizona Public Safety Personnel,,2016 CAFR p 36,,TP,,-326.326,,,,,5,0,0,2016,169469.738,534601.619,,12539.883,17316.362,30260.776,,764188.378,22062.979,,2281.004,38934.594,41215.598,,,,,71958.073,,,,,-101453.983,1395.193,457.9,784.226,688.2480000000001,800512.3860000001,-810653.111,-596752.91,,,-213900.201,,,,,-17427.012,-5183.979,,-539.586,-833803.688,,6042477.418
Arizona SRS,,,,cmg,,,,,,,6,0,0,2001,133504.098999999,77196.152,,37687.091,,,1847.846,250235.187999999,-1932275.476,,323486.379,153453.937999999,476940.316999999,9824.287,,,,12423.07,-5038.94,,,,-19569.281,86180.47199999991,-78127.527,,,-1199407.88999999,-823266.677999999,-809133.177999999,,-14133.5,,,,,,-98535.27400000001,-10135.5669999999,,-12390.536,-944328.0550000001,,20798327.423
Arizona SRS,,,,cmg,,,,,,,6,0,0,2002,135274.945,131234.295,,49365.487,,,1467.434,317342.161,-2202829.30599999,,297642.222,143007.628,440649.85,5631.703,,,,11317.873,-6902.207,,,,-17229.962,41763.5369999999,-34771.5749999999,,,-1445027.926,-938249.7249999991,-924171.814999999,,-14077.91,,,,,,-42765.105,-15799.87,,-9526.826999999999,-1006341.527,,18346957.9699999
Arizona SRS,,,,cmg,,,,,,,6,0,0,2003,142356,138100,,91568,,,1984,374008,-53264,,261901,152431,414332,7552,,,,2764,-5363,,,,-16784,29578,-24078,,,728743,-1083342,-1067481,,-15861,,,,,,-35976,-21148,,-13654,-1154120,,17921581
Arizona SRS,,,,cmg,,,,,,,6,0,0,2004,377436,297770,,112038,,,1906,789150,2693993,,230749,184034,414783,6709,,,,3728,-4880,,,,-23936,27644,-21262,,,3885929,-1253825,-1238966,,,,-14859,,,,-36212,-23466,,-8818,-1322321,,20485189
Arizona SRS,,,,cmg,,,,,,,6,0,0,2005,403661,318311,,140159,,,1773,863904,1316361,,216980,204011,420991,5878,,,,4611,-5777,,,,-26516,44959,-39516,,,2584895,-1424949,-1406547,,,,-18402,,,,-44164,-21940,,-8117,-1499170,,21570914
Arizona SRS,,,,cmg,,,,,,,6,0,0,2006,570933,477472,,124024,,,1727,1174156,1672710,,260548,223564,484112,7831,,,,5972,-4975,,,,-44945,85592,-80025,,,3300428,-1556117,-1538992,,,,-17125,,,,-60313,-28054,,-7212,-1651696,,23219646
Arizona SRS,,,,cmg,,,,,,,6,0,0,2007,766962,663544,,97863,,,9685,1538054,3584175,,290703,262559,553262,11997,,,,7064,-6596,,,,-50841,142707,-136124,,,5643698,-1672408,-1650818,,,,-21590,,,,-77910,-29817,,-13651,-1793786,,27069558
Arizona SRS,,,,cmg,,,,,,,6,0,0,2008,857813,759482,,90030,,,5196,1712521,-2511535,,254353,313367,567720,22769,2849,,,11070,-22702,-7022,,,-48212,152205,-130401,,,-250738,-1790867,-1768219,,,,-22648,,,,-104387,-29195,,-177184,-2101633,,24717187
Arizona SRS,,,,cmg,,,,,,,6,0,0,2009,844540,754044,,69130,,,3306,1671020,-4607182,,239293,264331,503624,-167809,-36954,,,-17116,-36433,-23616,-2012,,-37715,49846,-26075,,-32019,-2762441,-1919309,-1888931,,,,-30378,,,,-120689,-27322,,-6973,-2074293,,19880453
Arizona SRS,,,,jp,,-1421,,1,1,1,6,0,0,2010,808908,763099,,71020,,,2953,1645980,2350927,,216116,255848,471964,-18837,74007,77657,,15285,-35924,-23509,-5451,,-45784,12135,-173,1248,,4518277,-2057591,-2031119,,,,-26472,,,,-154144,-28237,,-11798,-2251770,,22146960
Arizona SRS,,,,cmg,,-1726,,,,,6,0,0,2011,833287,786662,,64385,,,6427,1690761,4629673,,207282,265894,473176,181336,123495,67190,,40832,-24172,-28004,-10987,,-59008,13593,-410,1316,,7097475,-2190728,-2166779,,,,-23949,,,,-180719,-27286,,-6479,-2405212,,26839223
