ppd_id,PlanName_check,EEGroupID,EEGroupName_check,TierID,TierName,TierDesc,TierHireDate,TierClosedDate,TierFutureAge,TierFutureTenure,TierFuturePoints,TierFutureDateStart,TierFutureDateEnd,notes_TierBasics,SubTierID,NumberofEEGroups,NumberofTiers,MultipleEEGroupsCoded,EEGroupID_Error,MultipleTiersCoded,TierID_Error
8,Arkansas Teachers,0,All Employees,2,Contributory,,  7/1/1999,  1/1/8000,,,,,,,,1,2,0,0,1,0
9,California PERF,1,State Miscellaneous - Tier 1,1,,,1/1/1800, 1/14/2011,,,,,,,,17,3,1,0,1,0
9,California PERF,1,State Miscellaneous - Tier 1,2,,, 1/15/2011,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,1,State Miscellaneous - Tier 1,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,2,State Miscellaneous - Tier 2,1,,,1/1/1800, 1/14/2011,,,,,,,,17,3,1,0,1,0
9,California PERF,2,State Miscellaneous - Tier 2,2,,, 1/15/2011,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,2,State Miscellaneous - Tier 2,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,4,State Industrial - Tier 1,1,,,1/1/1800, 1/14/2011,,,,,,,,17,3,1,0,1,0
9,California PERF,4,State Industrial - Tier 1,2,,, 1/15/2011,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,4,State Industrial - Tier 1,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,5,State Industrial - Tier 2,1,,,1/1/1800, 1/14/2011,,,,,,,,17,3,1,0,1,0
9,California PERF,5,State Industrial - Tier 2,2,,, 1/15/2011,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,5,State Industrial - Tier 2,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,7,State Safety,1,,,1/1/1800, 1/14/2011,,,,,,,,17,3,1,0,1,0
9,California PERF,7,State Safety,2,,, 1/15/2011,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,7,State Safety,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,8,State Peace Officers,1,,,1/1/1800, 1/14/2011,,,,,,,,17,3,1,0,1,0
9,California PERF,8,State Peace Officers,2,,, 1/15/2011,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,8,State Peace Officers,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,9,California Highway Patrol,1,,,1/1/1800,10/30/2010,,,,,,,,17,3,1,0,1,0
9,California PERF,9,California Highway Patrol,2,,,10/31/2010,12/31/2012,,,,,,,,17,3,1,0,1,0
9,California PERF,9,California Highway Patrol,3,,,  1/1/2013,  1/1/8000,,,,,,,,17,3,1,0,1,0
9,California PERF,10,Schools,1,,,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,10,Schools,2,,,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,11,Public Agency - Risk Pool 1 - Miscellaneous 2%@60,1,,Miscellaneous 2%@60,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,11,Public Agency - Risk Pool 1 - Miscellaneous 2%@60,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,12,Public Agency - Risk Pool 2 - Miscellaneous 2%@55,1,,Miscellaneous 2%@55,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,12,Public Agency - Risk Pool 2 - Miscellaneous 2%@55,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,13,Public Agency - Risk Pool 3 - Miscellaneous 2.5%@55,1,,Miscellaneous 2.5%@55,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,13,Public Agency - Risk Pool 3 - Miscellaneous 2.5%@55,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,14,Public Agency - Risk Pool 4 - Miscellaneous 2.7%@55,1,,Miscellaneous 2.7%@55,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,14,Public Agency - Risk Pool 4 - Miscellaneous 2.7%@55,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,15,Public Agency - Risk Pool 5 - Miscellaneous 3.0%@60,1,,Miscellaneous 3.0%@60,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,15,Public Agency - Risk Pool 5 - Miscellaneous 3.0%@60,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,16,Public Agency - Risk Pool 6 - Safety 2.0%@55 ,1,,Safety 2.0%@55,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,16,Public Agency - Risk Pool 6 - Safety 2.0%@55 ,2,,Safety 2.0%@57,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,17,Public Agency - Risk Pool 7 - Safety 2.0%@50,1,,Safety 2.0%@50,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,17,Public Agency - Risk Pool 7 - Safety 2.0%@50,2,,Safety 2.7%@57,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,18,Public Agency - Risk Pool 8 - Safety 3.0%@55,1,,Safety 3.0%@55,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,18,Public Agency - Risk Pool 8 - Safety 3.0%@55,2,, Safety 2.7%@57,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
9,California PERF,19,Public Agency - Risk Pool 9 - Safety 3.0%@50,1,,Safety 3.0%@50,1/1/1800,12/31/2012,,,,,,,,17,2,1,0,1,0
9,California PERF,19,Public Agency - Risk Pool 9 - Safety 3.0%@50,2,,Safety 2.7%@57,  1/1/2013,  1/1/8000,,,,,,,,17,2,1,0,1,0
10,California Teachers,0,Teachers,1,,,1/1/1800,12/31/2012,,,,,,,,1,2,0,0,1,0
10,California Teachers,0,Teachers,2,,,  1/1/2013,  1/1/8000,,,,,,,,1,2,0,0,1,0
11,Chicago Teachers,0,Teachers,1,,Members hired prior to January 1st 2011,1/1/1800,12/31/2010,,,,,,,,1,2,0,0,1,0
11,Chicago Teachers,0,Teachers,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,,1,2,0,0,1,0
12,City of Austin ERS,0,All Employees,1,Tier 1 (pre 1996),,1/1/1800,12/31/1995,,,,,,,,1,3,0,0,1,0
12,City of Austin ERS,0,All Employees,2,Tier 2 (1996-2011),,01jan1996,12/31/2011,,,,,,,,1,3,0,0,1,0
12,City of Austin ERS,0,All Employees,3,Tier 3 (2012+),,01jan2012,  1/1/8000,,,,,,,,1,3,0,0,1,0
13,Colorado Municipal,0,General Local Employees,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800, 6/30/2005,,,,,,,,1,5,0,0,1,0
13,Colorado Municipal,0,General Local Employees,2,,"Hired on and after 7/1/2005 but before 1/1/2007, and who have 5 or more years of service credit as of 1/1/2011",  7/1/2005,12/31/2006,,,,,,,,1,5,0,0,1,0
13,Colorado Municipal,0,General Local Employees,3,,"Hired on and after 1/1/2007 but before 1/1/2011, or who have less than 5 years of service credit as of 1/1/2011",  1/1/2007,12/31/2010,,,,,,,,1,5,0,0,1,0
13,Colorado Municipal,0,General Local Employees,4,,Hired on and after 1/1/2011 but before 1/1/2017,  1/1/2011,12/31/2017,,,,,,,,1,5,0,0,1,0
13,Colorado Municipal,0,General Local Employees,5,,Hired on and after 1/1/2017,  1/1/2017,  1/1/8000,,,,,,,,1,5,0,0,1,0
14,Colorado School,0,School Employees,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800, 6/30/2005,,,,,,,,1,5,0,0,1,0
14,Colorado School,0,School Employees,2,,"Hired on and after 7/1/2005 but before 1/1/2007, and who have 5 or more years of service credit as of 1/1/2011",  7/1/2005,12/31/2006,,,,,,,,1,5,0,0,1,0
14,Colorado School,0,School Employees,3,,"Hired on and after 1/1/2007 but before 1/1/2011, or who have less than 5 years of service credit as of 1/1/2011",  1/1/2007,12/31/2010,,,,,,,,1,5,0,0,1,0
14,Colorado School,0,School Employees,4,,Hired on and after 1/1/2011,  1/1/2011,12/31/2017,,,,,,,,1,5,0,0,1,0
14,Colorado School,0,School Employees,5,,Hired on and after 1/1/2017,  1/1/2017,  1/1/8000,,,,,,,,1,5,0,0,1,0
15,Colorado State,1,State Employees,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800, 6/30/2005,,,,,,,,2,5,1,0,1,0
15,Colorado State,1,State Employees,2,,"Hired on and after 7/1/2005 but before 1/1/2007, and who have 5 or more years of service credit as of 1/1/2011",  7/1/2005,12/31/2006,,,,,,,,2,5,1,0,1,0
15,Colorado State,1,State Employees,3,,"Hired on and after 1/1/2007 but before 1/1/2011, or who have less than 5 years of service credit as of 1/1/2011",  1/1/2007,12/31/2010,,,,,,,,2,5,1,0,1,0
15,Colorado State,1,State Employees,4,,Hired on and after 1/1/2011 but before 1/1/2017,  1/1/2011,12/31/2017,,,,,,,,2,5,1,0,1,0
15,Colorado State,1,State Employees,5,,Hired on and after 1/1/2017,  1/1/2017,  1/1/8000,,,,,,,,2,5,1,0,1,0
15,Colorado State,2,State Troopers,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800,12/31/2010,,,,,,,,2,2,1,0,1,0
15,Colorado State,2,State Troopers,2,,Hired on and after 1/1/2011,  1/1/2011,  1/1/8000,,,,,,,,2,2,1,0,1,0
16,Connecticut SERS,1,General Employees-Tier I/Plan B,1,,,1/1/1800, 6/30/1984,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,2,General Employees-Tier I/Plan C,1,,,1/1/1800, 6/30/1984,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,1,,,  7/1/1984, 6/30/1997,60,25,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,2,,,  7/1/1984, 6/30/1997,62,10,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,3,,,  7/1/1984, 6/30/1997,70,5,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,4,,,  7/1/1984, 6/30/1997,60,25,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,5,,,  7/1/1984, 6/30/1997,62,5,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,6,,,  7/1/1984, 6/30/1997,63,25,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,7,,,  7/1/1984, 6/30/1997,65,10,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,3,General Employees-Tier II,8,,,  7/1/1984, 6/30/1997,70,5,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,1,,,  7/1/1984, 6/30/1997,60,25,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,2,,,  7/1/1997, 6/30/2011,62,10,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,3,,,  7/1/1997, 6/30/2011,70,5,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,4,,,  7/1/1997, 6/30/2011,60,25,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,5,,,  7/1/1997, 6/30/2011,62,5,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,6,,,  7/1/1997, 6/30/2011,63,25,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,7,,,  7/1/1997, 6/30/2011,65,10,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,4,General Employees-Tier IIA,8,,,  7/1/1997, 6/30/2011,70,5,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,5,General Employees-Tier III,1,,,  7/1/2011,  1/1/8000,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,6,Tier III-Hybrid,1,,,  7/1/2011,  1/1/8000,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,7,Hazardous Duty-Tier I,1,,,1/1/1800, 6/30/1984,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,8,Hazardous Duty-Tier II,1,,,  7/1/1984, 6/30/1997,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,1,,,  7/1/1997, 6/30/2011,60,25,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,2,,,  7/1/1997, 6/30/2011,62,10,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,3,,,  7/1/1997, 6/30/2011,70,5,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,4,,,  7/1/1997, 6/30/2011,60,25,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,5,,,  7/1/1997, 6/30/2011,62,5,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,6,,,  7/1/1997, 6/30/2011,63,25,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,7,,,  7/1/1997, 6/30/2011,65,10,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,9,Hazardous Duty-Tier IIA,8,,,  7/1/1997, 6/30/2011,70,5,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,10,Hazardous Duty-Tier III,1,,,  7/1/2011,  1/1/8000,,,,,,,,12,1,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,1,,,  7/1/1984, 6/30/1997,60,25,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,2,,,  7/1/1984, 6/30/1997,62,10,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,3,,,  7/1/1984, 6/30/1997,70,5,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,4,,,  7/1/1984, 6/30/1997,60,25,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,5,,,  7/1/1984, 6/30/1997,62,5,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,6,,,  7/1/1984, 6/30/1997,63,25,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,7,,,  7/1/1984, 6/30/1997,65,10,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,11,Tier II-Hybrid,8,,,  7/1/1984, 6/30/1997,70,5,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,1,,,  7/1/1997, 6/30/2011,60,25,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,2,,,  7/1/1997, 6/30/2011,62,10,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,3,,,  7/1/1997, 6/30/2011,70,5,,1/1/1800, 6/30/1997,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,4,,,  7/1/1997, 6/30/2011,60,25,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,5,,,  7/1/1997, 6/30/2011,62,5,,  7/1/1997, 6/30/2022,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,6,,,  7/1/1997, 6/30/2011,63,25,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,7,,,  7/1/1997, 6/30/2011,65,10,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
16,Connecticut SERS,12,Tier IIA-Hybrid,8,,,  7/1/1997, 6/30/2011,70,5,,  7/1/2022,  1/1/8000,,,12,8,1,0,1,0
17,Connecticut Teachers,0,Teachers,0,,,,,,,,,,,,1,1,0,0,0,0
18,Contra Costa County,1,General ,1,Tier 1 (pre 1980),,1/1/1800,30jun1980,,,,,,,,2,3,1,0,1,0
18,Contra Costa County,1,General ,2,Tier 3 (1980-2012),,01jul1980,12/31/2012,,,,,,,,2,3,1,0,1,0
18,Contra Costa County,1,General ,3,Tier 5 (2013+),,01jan2013,  1/1/8000,,,,,,,,2,3,1,0,1,0
18,Contra Costa County,2,Safety ,1,Tier 1 (pre 2013),,1/1/1800,12/31/2012,,,,,,,,2,2,1,0,1,0
18,Contra Costa County,2,Safety ,2,Tier 2 (2013+),,  1/1/2013,  1/1/8000,,,,,,,,2,2,1,0,1,0
19,DC Police & Fire,1,Police,1,Tier 1,,1/1/1800, 2/14/1980,,,,,,,,2,3,0,0,1,0
19,DC Police & Fire,1,Police,2,Tier 2,, 2/15/1980, 11/9/1996,,,,,,,,2,3,0,0,1,0
19,DC Police & Fire,1,Police,3,Tier 3,,11/10/1996,  1/1/8000,,,,,,,,2,3,0,0,1,0
19,DC Police & Fire,2,Fire,1,Tier 1,,1/1/1800, 2/14/1980,,,,,,,,2,3,0,0,1,0
19,DC Police & Fire,2,Fire,2,Tier 2,, 2/15/1980, 11/9/1996,,,,,,,,2,3,0,0,1,0
19,DC Police & Fire,2,Fire,3,Tier 3,,11/10/1996,  1/1/8000,,,,,,,,2,3,0,0,1,0
20,DC Teachers,0,Teachers,1,Tier 1,,1/1/1800,10/31/1996,,,,,,,,1,2,0,0,1,0
20,DC Teachers,0,Teachers,2,Tier 2,, 11/1/1996,  1/1/8000,,,,,,,,1,2,0,0,1,0
21,Delaware State Employees,0,All Employees,1,Hired pre 2012,,1/1/1800,12/31/2011,,,,,,,,1,2,0,0,1,0
21,Delaware State Employees,0,All Employees,2,2012+,,  1/1/2012,  1/1/8000,,,,,,,,1,2,0,0,1,0
22,Denver Employees,0,All Employees,1,Tier 1 (1963-2004),,  1/1/1963, 8/31/2004,,,,,,,,1,4,0,0,1,0
22,Denver Employees,0,All Employees,2,Tier 2 (2004-2011),,  9/1/2004, 6/30/2011,,,,,,,,1,4,0,0,1,0
22,Denver Employees,0,All Employees,3,Tier 3 (2011-2014),,  7/1/2011,12/31/2013,,,,,,,,1,4,0,0,1,0
22,Denver Employees,0,All Employees,4,Tier 4 (2014+),,  1/1/2014,  1/1/8000,,,,,,,,1,4,0,0,1,0
23,Denver Schools,0,All Employees,1,"Pre 2010, 5 YOS by 1/1/2011",Hired pre merge,1/1/1800,12/31/2009,,5,,  1/1/2011,  1/1/8000,,,1,4,0,0,1,0
23,Denver Schools,0,All Employees,2,"Pre 2010, no 5 YOS by 1/1/2011",Hired pre merge,1/1/1800,12/31/2009,,,,,,,,1,4,0,0,1,0
23,Denver Schools,0,All Employees,3,"Post 2010 (PERA), but pre 2011 (automatically less than 5 YOS by 2011)",PERA,  1/1/2010,12/31/2010,,,,,,,,1,4,0,0,1,0
23,Denver Schools,0,All Employees,4,2011+,"PERA; members hired on/after 2011, and members hired on/after 2017 whose last 10 years of service are in DPS",  1/1/2011,  1/1/8000,,,,,,,,1,4,0,0,1,0
24,Duluth Teachers,0,All Employees,1,Old Plan: Hired pre 1981,,1/1/1800, 6/30/1981,,,,,,,,1,4,0,0,1,0
24,Duluth Teachers,0,All Employees,2,"New Plan, Tier 1: Hired 1981+",,  7/1/1981, 6/30/1989,,,,,,,,1,4,0,0,1,0
24,Duluth Teachers,0,All Employees,3,"New Plan, Tier 2A: Hired 1989+",,  7/1/1989, 6/30/2010,,,,,,,,1,4,0,0,1,0
24,Duluth Teachers,0,All Employees,4,"New Plan, Tier 2B: Hired 2010+",,  7/1/2010,  1/1/8000,,,,,,,,1,4,0,0,1,0
25,Fairfax County Schools,0,All Employees,1,Tier 1 (1988-2001),,  7/1/1988, 6/30/2001,,,,,,,,1,2,0,0,1,0
25,Fairfax County Schools,0,All Employees,2,Tier 2 (2001+),,  7/1/2001,  1/1/8000,,,,,,,,1,2,0,0,1,0
26,Florida RS,1,Regular,1,,,1/1/1800, 6/30/2011,,,,,,,,5,2,1,0,1,0
26,Florida RS,1,Regular,2,,,  7/1/2011,  1/1/8000,,,,,,,,5,2,1,0,1,0
26,Florida RS,2,Senior Mgmt.,1,,,1/1/1800, 6/30/2011,,,,,,,,5,2,1,0,1,0
26,Florida RS,2,Senior Mgmt.,2,,,  7/1/2011,  1/1/8000,,,,,,,,5,2,1,0,1,0
26,Florida RS,3,Special Risk,1,,,1/1/1800, 6/30/2011,,,,,,,,5,2,1,0,1,0
26,Florida RS,3,Special Risk,2,,,  7/1/2011,  1/1/8000,,,,,,,,5,2,1,0,1,0
26,Florida RS,4,Special Risk Admin,1,,,1/1/1800, 6/30/2011,,,,,,,,5,2,1,0,1,0
26,Florida RS,4,Special Risk Admin,2,,,  7/1/2011,  1/1/8000,,,,,,,,5,2,1,0,1,0
26,Florida RS,5,Elected Officials,1,,,1/1/1800, 6/30/2011,,,,,,,,5,2,1,0,1,0
26,Florida RS,5,Elected Officials,2,,,  7/1/2011,  1/1/8000,,,,,,,,5,2,1,0,1,0
27,Georgia ERS,0,State and Local Employees,1,Old Plan,Members hired prior to July 1st 1982,1/1/1800, 6/30/1982,,,,,,,,1,3,0,0,1,0
